config,res,time,Y_Wscale,Y_Pscale,Y_EVI
ALPS,_54km,2012-10-20 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 05:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 05:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 06:00:00,-0.003232636266477226,-0.00974617271468415,9.386188391102202e-06
DEFAULT,_54km,2012-10-20 06:00:00,-0.0029149319543546877,-0.008657187831298116,9.491123031362904e-06
ALPS,_54km,2012-10-20 07:00:00,0.013511874669608301,-0.07683853254162877,0.00011251693343638756
DEFAULT,_54km,2012-10-20 07:00:00,0.010237090580502612,-0.07856769929095404,0.0001078065363972838
ALPS,_54km,2012-10-20 08:00:00,0.01214538372647171,-0.14690510391324585,0.0001978611614240585
DEFAULT,_54km,2012-10-20 08:00:00,0.010013055897938257,-0.14704343957347357,0.00019443938747712176
ALPS,_54km,2012-10-20 09:00:00,0.006851317123871,-0.19967070412529003,0.00024873719236440355
DEFAULT,_54km,2012-10-20 09:00:00,0.00842342793996795,-0.19141971671143854,0.00024965942685738516
ALPS,_54km,2012-10-20 10:00:00,0.006441090401194526,-0.2268751245808153,0.0002738744022184196
DEFAULT,_54km,2012-10-20 10:00:00,0.011380372540787187,-0.20973897860261817,0.00027945967055352636
ALPS,_54km,2012-10-20 11:00:00,0.009573342191593589,-0.24294427022462883,0.0002844018649388462
DEFAULT,_54km,2012-10-20 11:00:00,0.01738630359100364,-0.21905154846827393,0.00029391979636583034
ALPS,_54km,2012-10-20 12:00:00,0.013815122464568869,-0.24703322724310012,0.000283395124558208
DEFAULT,_54km,2012-10-20 12:00:00,0.023096589305028198,-0.21952551646802926,0.0002945276107867331
ALPS,_54km,2012-10-20 13:00:00,0.015574900734870493,-0.23372579304637273,0.0002678623548414163
DEFAULT,_54km,2012-10-20 13:00:00,0.024804922534269854,-0.2078999682440919,0.0002772703143914121
ALPS,_54km,2012-10-20 14:00:00,0.018036570668640124,-0.2012790305970454,0.00022962248620454043
DEFAULT,_54km,2012-10-20 14:00:00,0.02652901226103045,-0.17892020373922687,0.00023612098227180823
ALPS,_54km,2012-10-20 15:00:00,0.022544578829095458,-0.12755457088829467,0.00014699075121769338
DEFAULT,_54km,2012-10-20 15:00:00,0.026510414865914825,-0.11170739720989352,0.000150420277759728
ALPS,_54km,2012-10-20 16:00:00,0.0007531671892398852,-0.00959548447300047,1.1575893393460193e-05
DEFAULT,_54km,2012-10-20 16:00:00,0.0010366344460405142,-0.0057777719408766805,1.3512562348977968e-05
ALPS,_54km,2012-10-20 17:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 17:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 18:00:00,0.0,0.0,0.0
